Name,ID
organic divalent group (UBERON),CHEBI:51446
organic univalent group (UBERON),CHEBI:51447
enone (UBERON),CHEBI:51689
"alpha,beta-unsaturated ketone (UBERON)",CHEBI:51721
organic polycyclic compound (UBERON),CHEBI:51958
biochemical role (UBERON),CHEBI:52206
biophysical role (UBERON),CHEBI:52208
aetiopathogenetic role (UBERON),CHEBI:52209
pharmacological role (UBERON),CHEBI:52210
physiological role (UBERON),CHEBI:52211
pharmaceutical (UBERON),CHEBI:52217
apatite (UBERON),CHEBI:52254
hydroxylapatite (UBERON),CHEBI:52255
galactolipid (UBERON),CHEBI:5254
inorganic hydroxy compound (UBERON),CHEBI:52625
cyclic organic group (UBERON),CHEBI:52845
epitope (UBERON),CHEBI:53000
polyanionic macromolecule (UBERON),CHEBI:53309
ionic macromolecule (UBERON),CHEBI:53368
glucagon (UBERON),CHEBI:5391
heterocyclic compound (UBERON),CHEBI:5686
chondroitin D-glucuronate anion (UBERON),CHEBI:57652
tryptaminium (UBERON),CHEBI:57887
bilirubin(2-) (UBERON),CHEBI:57977
histaminium (UBERON),CHEBI:58432
cationic amino-acid residue (UBERON),CHEBI:58942
organophosphate oxoanion (UBERON),CHEBI:58945
short-chain fatty acid anion (UBERON),CHEBI:58951
saturated fatty acid anion (UBERON),CHEBI:58953
